experiment,benchmark,bp_mode,issue_width,alus,cycles,instructions,ipc,branches,correct_predictions,mispredictions,branch_accuracy,branch_flushes,rob_full_stalls,rs_full_stalls,notes
branch_loop_bp_always,branch_loop,always-taken,2,2,29,43,1.48,21,19,2,90.48%,1,0,0,
branch_loop_bp_none,branch_loop,none,2,2,121,43,0.36,20,1,19,5.00%,19,0,0,
branch_loop_bp_two_bit,branch_loop,two-bit,2,2,34,43,1.26,21,18,3,85.71%,2,0,0,
branch_loop_bp_two_level,branch_loop,two-level-local,2,2,54,43,0.80,21,14,7,66.67%,6,0,0,
branch_pattern_bp_always,branch_pattern,always-taken,2,2,173,170,0.98,77,59,18,76.62%,17,0,0,
branch_pattern_bp_none,branch_pattern,none,2,2,298,170,0.57,60,17,43,28.33%,43,0,0,
branch_pattern_bp_two_bit,branch_pattern,two-bit,2,2,196,170,0.87,61,37,24,60.66%,23,0,0,
branch_pattern_bp_two_level,branch_pattern,two-level-local,2,2,136,170,1.25,61,51,10,83.61%,10,0,0,
dependent_alu_w1_a1,dependent_alu,two-bit,1,1,36,32,0.89,0,0,0,0.00%,0,0,0,
dependent_alu_w2_a2,dependent_alu,two-bit,2,2,35,32,0.91,0,0,0,0.00%,0,0,0,
dependent_alu_w4_a4,dependent_alu,two-bit,4,4,35,32,0.91,0,0,0,0.00%,0,0,0,
independent_alu_w1_a1,independent_alu,two-bit,1,1,25,21,0.84,0,0,0,0.00%,0,0,0,
independent_alu_w2_a2,independent_alu,two-bit,2,2,15,21,1.40,0,0,0,0.00%,0,0,0,
independent_alu_w4_a4,independent_alu,two-bit,4,4,10,21,2.10,0,0,0,0.00%,0,0,0,
scalar_vector_add,scalar_vector_add,two-bit,2,2,143,150,1.05,19,15,4,78.95%,2,49,0,
vectorized_vector_add,vectorized_vector_add,two-bit,2,2,56,42,0.75,6,3,3,50.00%,2,7,0,
